0	Generic	NotDef	.notdef
703	AlphabeticDigits	r24	uni2489
704	AlphabeticDigits	r24	uni248A
705	AlphabeticDigits	r24	uni248B
706	AlphabeticDigits	r24	uni248C
707	AlphabeticDigits	r24	uni248D
708	AlphabeticDigits	r24	uni248E
709	AlphabeticDigits	r24	uni248F
710	AlphabeticDigits	r24	uni2490
711	AlphabeticDigits	r24	uni2491
712	AlphabeticDigits	r24	uni2492
713	AlphabeticDigits	r24	uni2493
714	AlphabeticDigits	r24	uni2494
715	AlphabeticDigits	r24	uni2495
716	AlphabeticDigits	r24	uni2496
717	AlphabeticDigits	r24	uni2497
718	AlphabeticDigits	r24	uni2498
719	AlphabeticDigits	r24	uni2499
720	AlphabeticDigits	r24	uni249A
721	AlphabeticDigits	r24	uni249B
722	Dingbats	r24	uni249C
723	Dingbats	r24	uni249D
724	Dingbats	r24	uni249E
725	Dingbats	r24	uni249F
726	Dingbats	r24	uni24A0
727	Dingbats	r24	uni24A1
728	Dingbats	r24	uni24A2
729	Dingbats	r24	uni24A3
730	Dingbats	r24	uni24A4
731	Dingbats	r24	uni24A5
732	Dingbats	r24	uni24A6
733	Dingbats	r24	uni24A7
734	Dingbats	r24	uni24A8
735	Dingbats	r24	uni24A9
736	Dingbats	r24	uni24AA
737	Dingbats	r24	uni24AB
738	Dingbats	r24	uni24AC
739	Dingbats	r24	uni24AD
740	Dingbats	r24	uni24AE
741	Dingbats	r24	uni24AF
742	Dingbats	r24	uni24B0
743	Dingbats	r24	uni24B1
744	Dingbats	r24	uni24B2
745	Dingbats	r24	uni24B3
746	Dingbats	r24	uni24B4
747	Dingbats	r24	uni24B5
748	Dingbats	r24	uni24B6
749	Dingbats	r24	uni24B7
750	Dingbats	r24	uni24B8
751	Dingbats	r24	uni24B9
752	Dingbats	r24	uni24BA
753	Dingbats	r24	uni24BB
754	Dingbats	r24	uni24BC
755	Dingbats	r24	uni24BD
756	Dingbats	r24	uni24BE
757	Dingbats	r24	uni24BF
758	Dingbats	r24	uni24C0
759	Dingbats	r24	uni24C1
760	Dingbats	r24	uni24C2
761	Dingbats	r24	uni24C3
762	Dingbats	r24	uni24C4
763	Dingbats	r24	uni24C5
764	Dingbats	r24	uni24C6
765	Dingbats	r24	uni24C7
766	Dingbats	r24	uni24C8
767	Dingbats	r24	uni24C9
768	Dingbats	r24	uni24CA
769	Dingbats	r24	uni24CB
770	Dingbats	r24	uni24CC
771	Dingbats	r24	uni24CD
772	Dingbats	r24	uni24CE
773	Dingbats	r24	uni24CF
774	Dingbats	r24	uni24D0
775	Dingbats	r24	uni24D1
776	Dingbats	r24	uni24D2
777	Dingbats	r24	uni24D3
778	Dingbats	r24	uni24D4
779	Dingbats	r24	uni24D5
780	Dingbats	r24	uni24D6
781	Dingbats	r24	uni24D7
782	Dingbats	r24	uni24D8
783	Dingbats	r24	uni24D9
784	Dingbats	r24	uni24DA
785	Dingbats	r24	uni24DB
786	Dingbats	r24	uni24DC
787	Dingbats	r24	uni24DD
788	Dingbats	r24	uni24DE
789	Dingbats	r24	uni24DF
790	Dingbats	r24	uni24E0
791	Dingbats	r24	uni24E1
792	Dingbats	r24	uni24E2
793	Dingbats	r24	uni24E3
794	Dingbats	r24	uni24E4
795	Dingbats	r24	uni24E5
796	Dingbats	r24	uni24E6
797	Dingbats	r24	uni24E7
798	Dingbats	r24	uni24E8
799	Dingbats	r24	uni24E9
800	Dingbats	r24	uni24EA
801	Dingbats	r24	uni24EB
802	Dingbats	r24	uni24EC
803	Dingbats	r24	uni24ED
804	Dingbats	r24	uni24EE
805	Dingbats	r24	uni24EF
806	Dingbats	r24	uni24F0
807	Dingbats	r24	uni24F1
808	Dingbats	r24	uni24F2
809	Dingbats	r24	uni24F3
810	Dingbats	r24	uni24F4
811	Dingbats	r24	uni24F5
812	Dingbats	r24	uni24F6
813	Dingbats	r24	uni24F7
814	Dingbats	r24	uni24F8
815	Dingbats	r24	uni24F9
816	Dingbats	r24	uni24FA
817	Dingbats	r24	uni24FB
